title_category;title_article;;;;;;;;;;
Machine learning;River - library for incremental machine learning on streaming data;;;;;;;;;;
Data analysis;QlikView data transformation and model construction;;;;;;;;;;
Machine learning;Creating new features to improve the quality of machine learning;;;;;;;;;;
Data analysis;AI learns your mood or Perception for Autonomous Systems in action;;;;;;;;;;
Programming;Gradient boosting with CatBoost (part 2/3);;;;;;;;;;
Programming;Text analysis by means of the Stanza library;;;;;;;;;;
Data analysis;Clustering of clients. Analysis of the client's personality;;;;;;;;;;
Web development;Data visualization using the Dash web framework;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
